year,city_avg,global_avg
1796,25.18,8.27
1797,26.75,8.51
1798,24.42,8.67
1799,25.45,8.51
1800,25.40,8.48
1801,24.33,8.59
1802,25.85,8.58
1803,25.61,8.50
1804,25.94,8.84
1805,25.50,8.56
1806,25.41,8.43
1807,24.92,8.28
1808,,7.63
1809,,7.08
1810,,6.92
1811,,6.86
1812,,7.05
1813,24.75,7.74
1814,23.95,7.59
1815,24.29,7.24
1816,23.98,6.94
1817,24.07,6.98
1818,24.26,7.83
1819,23.99,7.37
1820,24.25,7.62
1821,25.06,8.09
1822,25.20,8.19
1823,24.96,7.72
1824,25.52,8.55
1825,25.29,8.39
1826,25.33,8.36
1827,25.48,8.81
1828,25.10,8.17
1829,24.92,7.94
1830,25.20,8.52
1831,24.69,7.64
1832,24.95,7.45
1833,25.06,8.01
1834,24.94,8.15
1835,23.98,7.39
1836,24.82,7.70
1837,24.72,7.38
1838,24.70,7.51
1839,24.76,7.63
1840,25.03,7.80
1841,24.89,7.69
1842,24.90,8.02
1843,24.87,8.17
1844,24.53,7.65
1845,24.79,7.85
1846,25.14,8.55
1847,24.72,8.09
1848,24.61,7.98
1849,24.61,7.98
1850,25.08,7.90
1851,25.01,8.18
1852,24.78,8.10
1853,25.21,8.04
1854,25.26,8.21
1855,25.33,8.11
1856,24.06,8.00
1857,24.45,7.76
1858,25.06,8.10
1859,25.15,8.25
1860,24.86,7.96
1861,24.80,7.85
1862,,7.56
1863,,8.11
1864,,7.98
1865,25.22,8.18
1866,25.32,8.29
1867,25.33,8.44
1868,25.02,8.25
1869,25.12,8.43
1870,25.01,8.20
1871,25.15,8.12
1872,25.14,8.19
1873,25.20,8.35
1874,25.08,8.43
1875,25.18,7.86
1876,25.25,8.08
1877,25.32,8.54
1878,25.66,8.83
1879,25.20,8.17
1880,25.22,8.12
1881,24.99,8.27
1882,25.04,8.13
1883,24.82,7.98
1884,24.77,7.77
1885,24.90,7.92
1886,25.16,7.95
1887,24.81,7.91
1888,25.17,8.09
1889,25.58,8.32
1890,25.12,7.97
1891,24.93,8.02
1892,25.62,8.07
1893,24.21,8.06
1894,25.37,8.16
1895,25.16,8.15
1896,25.99,8.21
1897,25.95,8.29
1898,25.46,8.18
1899,25.43,8.40
1900,25.74,8.50
1901,25.54,8.54
1902,25.76,8.30
1903,25.52,8.22
1904,25.21,8.09
1905,24.65,8.23
1906,25.47,8.38
1907,25.17,7.95
1908,25.55,8.19
1909,25.20,8.18
1910,25.19,8.22
1911,25.37,8.18
1912,25.38,8.17
1913,24.98,8.30
1914,25.34,8.59
1915,25.75,8.59
1916,25.28,8.23
1917,24.51,8.02
1918,25.05,8.13
1919,25.15,8.38
1920,25.51,8.36
1921,25.84,8.57
1922,25.26,8.41
1923,25.57,8.42
1924,25.76,8.51
1925,24.97,8.53
1926,25.22,8.73
1927,25.38,8.52
1928,25.79,8.63
1929,25.49,8.24
1930,25.40,8.63
1931,25.92,8.72
1932,25.78,8.71
1933,24.92,8.34
1934,25.39,8.63
1935,25.38,8.52
1936,25.15,8.55
1937,25.00,8.70
1938,25.39,8.86
1939,25.51,8.76
1940,25.37,8.76
1941,26.00,8.77
1942,25.74,8.73
1943,25.60,8.76
1944,25.30,8.85
1945,25.07,8.58
1946,25.44,8.68
1947,25.84,8.80
1948,25.70,8.75
1949,25.38,8.59
1950,25.16,8.37
1951,25.74,8.63
1952,25.93,8.64
1953,26.10,8.87
1954,25.71,8.56
1955,25.58,8.63
1956,25.40,8.28
1957,25.74,8.73
1958,26.53,8.77
1959,25.83,8.73
1960,25.84,8.58
1961,25.30,8.80
1962,25.37,8.75
1963,25.52,8.86
1964,25.61,8.41
1965,25.64,8.53
1966,26.35,8.60
1967,25.67,8.70
1968,25.31,8.52
1969,26.03,8.60
1970,25.54,8.70
1971,24.58,8.60
1972,25.63,8.50
1973,25.84,8.95
1974,25.70,8.47
1975,25.54,8.74
1976,25.71,8.35
1977,25.68,8.85
1978,25.28,8.69
1979,26.18,8.73
1980,25.94,8.98
1981,25.48,9.17
1982,25.60,8.64
1983,25.27,9.03
1984,25.50,8.69
1985,26.04,8.66
1986,25.58,8.83
1987,26.07,8.99
1988,26.16,9.20
1989,25.62,8.92
1990,25.64,9.23
1991,25.74,9.18
1992,25.89,8.84
1993,25.97,8.87
1994,25.95,9.04
1995,26.01,9.35
1996,25.99,9.04
1997,25.58,9.20
1998,26.12,9.52
1999,26.21,9.29
2000,25.93,9.20
2001,25.92,9.41
2002,26.49,9.57
2003,26.08,9.53
2004,25.95,9.32
2005,26.30,9.70
2006,26.28,9.53
2007,25.82,9.73
2008,25.66,9.43
2009,26.55,9.51
2010,26.67,9.70
2011,25.64,9.52
2012,26.09,9.51
2013,26.99,9.61
